Gene1,Gene2
BCL3,DHCR24
BCL3,DHCR7
BCL3,DHRS1
BCL3,DHRS13
BCL3,DLGAP1-AS4
BCL3,DLX1
BCL3,DNAJB1
BCL3,DNAJC19
BCL3,DNAJC30
BCL3,DNLZ
BCL3,DOCK4
BCL3,DPAGT1
BCL3,DPM2
BCL3,DPP7
BCL3,DTYMK
BCL3,DUS1L
BCL3,DUSP7
BCL3,DVL1
BCL3,DYRK1B
BCL3,EEF2
BCL3,EFEMP2
BCL3,EIF6
BCL3,ELP6
BCL3,EMP2
BCL3,ENO1
BCL3,ENTPD2
BCL3,EOMES
BCL3,ERH
BCL3,EXTL3-AS1
BCL3,EZR
BCL3,F12
BCL3,FADS3
BCL3,FAM161B
BCL3,FAM171A2
BCL3,FAM218A
BCL3,FAM83E
BCL3,FAM86B1
BCL3,FAM86B2
BCL3,FASN
BCL3,FASTK
BCL3,FAU
BCL3,FBXL14
BCL3,FBXL6
BCL3,FCHSD1
BCL3,FGFBP3
BCL3,FGFR1
BCL3,FIS1
BCL3,FIZ1
BCL3,FKBP5
BCL3,FLNA
BCL3,FN1
BCL3,FOXD1
BCL3,FRMD3
BCL3,FUCA1
BCL3,FZD5
BCL3,G6PD
BCL3,GABARAP
BCL3,GADD45GIP1
BCL3,GALK1
BCL3,GALNT18
BCL3,GBX2
BCL3,GCLC
BCL3,GDF9
BCL3,GHDC
BCL3,GPATCH3
BCL3,GSG1
BCL3,GSK3A
BCL3,GSR
BCL3,GTPBP6
BCL3,HAMP
BCL3,HAS2
BCL3,HAUS7
BCL3,HDHD3
BCL3,HES4
BCL3,HES7
BCL3,HINT2
BCL3,HJURP
BCL3,HM13-AS1
BCL3,HMGCS1
BCL3,HNRNPA0
BCL3,HNRNPH1
BCL3,HNRNPL
BCL3,HOXA5
BCL3,HOXB13
BCL3,HR
BCL3,HSD11B1
BCL3,HSD17B14
BCL3,HSPA1L
BCL3,HSPA6
BCL3,HTR1D
BCL3,HYAL3
BCL3,HYOU1
BCL3,IFI27L2
BCL3,IGFBP3
BCL3,IMPDH1
BCL3,INPP4B
BCL3,INPP5E
BCL3,INTS5
BCL3,IRF2BP1
BCL3,IRF7
BCL3,ISOC2
BCL3,JMJD4
BCL3,JTB
BCL3,JUN
BCL3,KCNH2
BCL3,KCNJ11
BCL3,KIFC3
BCL3,KLF9
BCL3,KLHL35
BCL3,KRT8
BCL3,KRT81
BCL3,KTI12
BCL3,LAD1
BCL3,LAGE3
BCL3,LAMA5
BCL3,LAPTM4A
BCL3,LDHB
BCL3,LENG9
BCL3,LINC00111
BCL3,LINC00677
BCL3,LMF2
BCL3,LMTK3
BCL3,LONP1
BCL3,LRFN1
BCL3,LRPAP1
BCL3,LRRC59
BCL3,LSM10
BCL3,LSM7
BCL3,LTB
BCL3,LTBP3
BCL3,LYNX1
BCL3,LYST
BCL3,MAD2L2
BCL3,MAGEF1
BCL3,MAML2
BCL3,MAN2C1
BCL3,MAP2K4P1
BCL3,MAP4K2
BCL3,MAPK12
BCL3,MARCKSL1
BCL3,MATN1-AS1
BCL3,MCAT
BCL3,MCL1
BCL3,MCRS1
BCL3,MEA1
BCL3,MED20
BCL3,MFGE8
BCL3,MGAT1
BCL3,MGAT4B
BCL3,MICAL1
BCL3,MICALL2
BCL3,MIR22HG
BCL3,MIR24-2
BCL3,MIR3193
BCL3,MLF2
BCL3,MRPL16
BCL3,MRPL28
BCL3,MRPS15
BCL3,MSMP
BCL3,MSRB1
BCL3,MST1L
BCL3,MST1R
BCL3,MTCH1
BCL3,MTMR11
BCL3,MUC1
BCL3,MUL1
BCL3,MYL2
BCL3,MZF1
BCL3,NAMPT
BCL3,NAPSA
BCL3,NAT9
BCL3,NCL
BCL3,NDUFA2
BCL3,NDUFA4L2
BCL3,NHLRC1
BCL3,NKX3-1
BCL3,NOL6
BCL3,NOP10
BCL3,NPDC1
BCL3,NPTX1
BCL3,NQO1
BCL3,NR1D1
BCL3,NR2C2AP
BCL3,NR2F6
BCL3,NRARP
BCL3,NSMF
BCL3,NSUN6
BCL3,NT5C
BCL3,NUDT18
BCL3,NUDT8
BCL3,NUPR1
BCL3,OPLAH
BCL3,ORMDL3
BCL3,OSBPL7
BCL3,OSCAR
BCL3,OSR1
BCL3,OXLD1
BCL3,P4HB
BCL3,PAN2
BCL3,PARP10
BCL3,PARS2
BCL3,PCBP4
BCL3,PCDH9
BCL3,PCGF1
BCL3,PCYT2
BCL3,PDAP1
BCL3,PDIA4
BCL3,PDIA6
BCL3,PDZD11
BCL3,PFN1
BCL3,PIGH
BCL3,PJA1
BCL3,PKD1
BCL3,PKMYT1
BCL3,PLD6
BCL3,PLEC
BCL3,PLXNB2
BCL3,POFUT2
BCL3,POLD2
BCL3,POLDIP2
BCL3,POLM
BCL3,POLR2I
BCL3,POLR2J
BCL3,POLR2L
BCL3,POLRMT
BCL3,POMGNT1
BCL3,POP5
BCL3,PPP1CA
BCL3,PPP1R3C
BCL3,PPP1R9B
BCL3,PRAF2
BCL3,PRDX1
BCL3,PRODH
BCL3,PRR15L
BCL3,PRSS27
BCL3,PSAP
BCL3,PSMC3IP
BCL3,PSME2
BCL3,PSMG4
BCL3,PTGES
BCL3,PTGES2
BCL3,PTGR1
BCL3,PTHLH
BCL3,PTK6
BCL3,PTRH1
BCL3,PYCR1
BCL3,R3HDM4
BCL3,RAB11B-AS1
BCL3,RAB34
BCL3,RABAC1
BCL3,RABGGTA
BCL3,RECQL4
BCL3,REEP4
BCL3,RELA
BCL3,RGL2
BCL3,RGS19
BCL3,RHOC
BCL3,RHOV
BCL3,RILP
BCL3,RIN1
BCL3,RNASEH2C
BCL3,RNF208
BCL3,ROBO1
BCL3,ROBO3
BCL3,RPL22
BCL3,RPL8
BCL3,RPP25L
BCL3,RPS16
BCL3,RPUSD1
BCL3,RRBP1
