Gene1,Gene2
ETS1,CHUK
TAF1,NDN
CEBPB,SOD3
SP1,GATA3
GATA3,SP1
TP53,IRF1
IRF1,TP53
MZF1,ST6GALNAC4
MYC,NME2
NME2,MYC
SP1,TFF1
SOX7,GATA4
USF1,CHUK
USF2,CHUK
YY1,ACP5
SP1,ACHE
CEBPB,SLC19A1
NFE2L2,AKR1B1
NFE2L2,AR
TP53,IGFBP3
ESRRA,SP1
TP53,RECQL4
ELF1,UCN
AR,HEY1
HEY1,AR
SP1,TIMP2
NKX3-1,CASP9
TP63,IGFBP3
CEBPB,LRPAP1
SP7,WNT10B
ZNF436,SMARCA4
TP53,TRIAP1
MZF1,PKD1
SP1,PKD1
CEBPB,TFF1
MYC,HIF1A
HIF1A,MYC
SP1,HIF1A
HIF1A,SP1
ENO1,JUN
HIF1A,JUN
MYC,CHUK
SP1,SLC6A3
AR,FKBP5
SP1,COL10A1
USF1,GCLC
REST,NTRK3
NCOR2,NFE2L2
NKX3-1,NKX3-1
SP1,PTHLH
MZF1,MUC1
CREB1,FN1
SP1,LTB
SP1,MYBL2
MYBL2,SP1
TP53,NR1D1
E2F1,WNT4
MYC,WNT4
TP53,CREB1
CREB1,TP53
FOSL1,GCLC
AR,DHCR24
ESRRA,TFF1
AR,KRT8
SMAD3,E2F2
AR,KDM1A
FOXA1,TFF1
CREB1,AR
NR3C1,SLC10A1
ETS1,ETS1
HEY2,MYOCD
SP6,SP6
MYC,PLXNB2
HEY2,NPPA
HEY1,GATA4
USF1,SLC19A1
AR,SIN3A
NR3C1,ABCG4
TP63,CDKN1C
ELK1,MYOCD
SP1,LIPE
SP1,FOSL1
ETS1,GATA2
MYBL2,E2F1
E2F1,MYBL2
TP53,PRODH
NR3C1,FN1
ESRRA,PDK4
TP63,TP63
TP63,WNT4
TP53,WNT4
SPDEF,SPDEF
NCOR2,AR
SP1,EPAS1
TP53,GPX2
AR,CRH
TP63,S100A2
MYC,GCLC
RELA,HAMP
ELF1,ELF1
TP53,FGFR1
SP7,SP7
TP63,FASN
CEBPB,MYC
TP53,TUBB2A
SP1,HAS2
HIF1A,TGFB3
NCOR2,RARB
SP1,TNNT2
PRDM1,SDC1
XBP1,SDC1
FOXA2,PPP1R3C
USF2,HAMP
ZBTB16,PBX1
AR,SMC3
HEY1,HEY1
JUND,NPPA
SP1,PGLYRP2
TP53,PYCARD
ETS1,RHOC
SP1,PDK4
TCF12,TCF12
NFE2L2,GPX2
NKX3-1,MCL1
HIF1A,NAMPT
CREB1,TGFB3
JUN,TGFB3
SMAD3,TGFB3
E2F1,YY1
NFE2L2,SMARCA4
TP53,PKD1
ARNT,HIF1A
HIF1A,ARNT
CEBPB,ATF3
TP53,LOX
USF2,GATA4
HIF1A,CITED2
MAFK,PRDM1
USF1,APLN
GATA3,MUC1
CREB1,FOSL1
ELK1,FOSL1
XBP1,XBP1
CTCF,CTCF
USF1,AKR1B1
CREB1,IL13
AR,PSAP
E2F1,CDKN1C
E2F1,AR
JUN,SP1
SP1,JUN
SP1,MCL1
IRF1,CXCL11
RELA,CXCL11
AR,NKX3-1
NKX3-1,AR
PRDM1,TP53
SP1,FZD5
IRF1,GBP2
BCL6,PCGF1
CDX2,IGFBP3
TP53,MUC1
SP1,KCNH2
NKX3-1,KCNH2
JUN,TFF1
CREB1,PTHLH
FOXM1,FOXA2
MYC,FOXM1
FOXM1,MYC
RUNX3,SP7
ARNT,MYOCD
JUNB,JUND
JUND,JUNB
