Gene1,Gene2
CREB1,ENO1
CREB1,REST
DBP,EP300
E2F1,EZH2
E2F1,COL10A1
E2F1,FOXD3
E2F1,RECQL4
E2F2,TP53
EPAS1,ENO1
ESRRA,SIRT3
ESRRA,WNT11
FOSL1,THBD
FOSL2,SIGMAR1
FOSL2,CEBPB
FOXA1,HOXB13
FOXA1,NR3C1
FOXA2,EP300
FOXD3,NODAL
FOXJ1,EZR
FOXJ1,FOXA1
GATA3,GATA2
GATA3,MYC
GATA4,TNNI3
GATA4,YY1
HEY1,SLC6A3
HEYL,HEY2
HEYL,HEY1
HIF1A,CTSD
HIF1A,FN1
HIF1A,CDKN1C
HIF1A,HDAC2
HIF1A,ABCC9
HIF1A,KCNJ8
HIF1A,POLM
HIF1A,GATA4
HMGA2,JUNB
HMGA2,FOSL1
IRF1,CASP9
IRF1,C1R
JUN,FOSL2
JUN,CYBA
JUN,ZFP36
JUN,MYL2
JUNB,GATA3
JUNB,MYL2
JUNB,ZFP36
MYBL2,TP53
MYBL2,COL5A2
MYBL2,ANPEP
MYC,EZR
NCOR2,GSTA2
NFE2L2,NR3C1
NKX3-1,IGFBP3
NR1D1,RORC
NR3C1,FKBP5
NR3C1,GSTA2
NR3C1,IGFBP3
NR3C1,LAD1
NR3C1,NR1D1
NR3C1,ALOX12
NR3C1,DPAGT1
PRDM1,XBP1
PRDM1,NR5A2
RARB,IGFBP3
RELA,JUN
RELA,FOSL1
RELA,CYBA
RELA,GALK1
RUNX3,EOMES
SMAD3,CREB1
SMAD3,F12
SMAD3,CLDN3
SP1,GATA4
SP1,NTF4
SP1,SLC1A5
SP1,TPM2
SP1,ACP5
SREBF1,LIPE
SREBF1,WNT10B
TEAD4,CDX2
TP53,TNFRSF1A
TP53,WT1
TP53,PYCR1
TP53,SP7
TP53,CLU
TP53,PCBP4
TP53,KRT19
TP53,HDAC2
USF1,HAMP
USF1,LIPE
USF1,OSCAR
WT1,FASN
YY1,CREB1
ZBTB16,COL1A1
ZBTB17,TFF1
CREB1,LTB
HIF1A,FASN
CEBPB,CPS1
JUN,ACTG1
JUN,NOXO1
JUN,CPS1
JUN,SLC7A11
JUN,LOXL4
JUN,MCL1
JUN,S100A2
JUN,FASN
GATA3,SMARCA2
GATA3,RUNX3
FOXM1,FOXM1
FOXM1,RHOC
SREBF1,FLNA
NR5A2,FASN
XBP1,FASN
USF2,FASN
BHLHE40,SREBF1
MYOCD,MYOCD
EP300,ALDH3A1
MUC1,JUN
FOXA2,CITED2
FOXA2,UGT2B17
HIF1A,SPRY2
PBX1,PBX1
NKX2-1,PRDM13
NKX2-1,WNT7B
FEZF1,HES5
EP300,SP7
FOSB,MYC
TCF12,LEFTY1
AR,CITED2
AR,SMARCA2
AR,TNFRSF1A
EPAS1,BHLHE40
CTCF,ABCA2
CTCF,B4GALNT1
CTCF,C1R
CTCF,CIDEB
CTCF,DMKN
CTCF,LRRC59
CTCF,NFE2L2
